,method,outcome,weight,year,name
0,Inside heel hook,L,ABS,2015,Aaron Johnson
1,RNC,L,94KG,2015,Aaron Johnson
2,Heel hook,L,ABS,2015,Aaron Johnson
3,Points,L,94KG,2016,Aaron Johnson
4,N/A,L,94KG,2016,Aaron Johnson
5,Cross choke,L,HWABS,2016,Aaron Johnson
6,Choke,L,ABS,2016,Aaron Johnson
7,Triangle,L,100KG,2016,Aaron Johnson
8,Triangle armbar,L,ABS,2016,Aaron Johnson
9,Choke from back,L,ABS,2016,Aaron Johnson
10,Points,L,ABS,2016,Aaron Johnson
11,Inside heel hook,L,84KG,2016,Aaron Johnson
12,Arm in guillotine,L,ABS,2016,Aaron Johnson
13,Pts: 19x0,L,O97KG,2016,Aaron Johnson
14,Points,L,110KG,2017,Aaron Johnson
15,Pts: 10x0,L,ABS,2017,Aaron Johnson
16,Points,L,U110KG,2017,Aaron Johnson
17,Points,L,U110KG,2017,Aaron Johnson
18,Pts: 4x2,L,94KG,2017,Aaron Johnson
19,Points,L,ABS,2017,Aaron Johnson
20,Botinha,L,ABS,2017,Aaron Johnson
21,Brabo choke,L,94KG,2017,Aaron Johnson
22,Calf slicer,L,O97KG,2017,Aaron Johnson
23,Points,L,ABS,2017,Aaron Johnson
24,Reverse triangle,L,ABS,2017,Aaron Johnson
25,Inside heel hook,L,ABS,2017,Aaron Johnson
26,Pts: 2x0,L,97KG,2017,Aaron Johnson
27,RNC,L,ABS,2017,Aaron Johnson
28,"Pts: 0x0, Adv",L,110KG,2018,Aaron Johnson
29,Points,L,110KG,2018,Aaron Johnson
30,DQ,L,O85KG,2018,Aaron Johnson
31,Pts: 7x2,L,94KG,2018,Aaron Johnson
32,Triangle armbar,L,93KG,2018,Aaron Johnson
33,Pts: 4x2,L,95KG,2018,Aaron Johnson
34,Referee Decision,L,ABS,2018,Aaron Johnson
35,DQ,L,97KG,2018,Aaron Johnson
36,DQ,L,ABS,2018,Aaron Johnson
37,Pts: 6x0,L,O97KG,2018,Aaron Johnson
38,Pts: 5x0,L,ABS,2018,Aaron Johnson
39,Pts: 34x0,L,ABS,2019,Aaron Johnson
40,Pts: 15x0,L,94KG,2019,Aaron Johnson
41,Pts: 6x1,L,93KG,2019,Aaron Johnson
42,Choke,L,100KG,2019,Aaron Johnson
43,RNC,L,92KG,2019,Aaron Johnson
44,Referee Decision,L,100KG,2019,Aaron Johnson
45,Pts: 11x0,L,O97KG,2019,Aaron Johnson
46,Pts: 3x0,L,99KG,2019,Aaron Johnson
47,Pts: 3x0,L,ABS,2019,Aaron Johnson
48,EBI/OT,L,ABS,2019,Aaron Johnson
49,EBI/OT,L,ABS,2019,Aaron Johnson
50,Triangle armbar,L,ABS,2019,Aaron Johnson
51,Referee Decision,L,97KG,2019,Aaron Johnson
52,Katagatame,L,N/A,2020,Aaron Johnson
53,Toe hold,W,94KG,2015,Aaron Johnson
54,Straight ankle lock,W,94KG,2015,Aaron Johnson
55,Points,W,ABS,2016,Aaron Johnson
56,Points,W,ABS,2016,Aaron Johnson
57,Straight ankle lock,W,94KG,2016,Aaron Johnson
58,Choke from back,W,100KG,2016,Aaron Johnson
59,"Pts: 0x0, Adv",W,ABS,2016,Aaron Johnson
60,Straight ankle lock,W,O97KG,2016,Aaron Johnson
61,Flying armbar,W,ABS,2016,Aaron Johnson
62,Toe hold,W,O97KG,2016,Aaron Johnson
63,Toe hold,W,110KG,2017,Aaron Johnson
64,Submission,W,U110KG,2017,Aaron Johnson
65,Points,W,O100KG,2017,Aaron Johnson
66,Points,W,O100KG,2017,Aaron Johnson
67,Points,W,ABS,2017,Aaron Johnson
68,Pts: 7x6,W,94KG,2017,Aaron Johnson
